CLT_ID,NAME,Group ID,STATUS,SALES,COLL,LIST_AMT,PAID_AMT,AMOUNT,AGE,SM ,MED,LG,CC,FEE_AMT,AMOUNT_EARNED_US,AMOUNT_EARNED_CLT,TOTAL_AMOUNT_EARNED,ATTORNEY_FEES,COURT_COSTS,ES1,ES2,ES3,ESF
100,New Albany Radiology,,C,1,K30,$0.00 ,$16.27 ,$4.89 ,0,0,0,0,,$0.00 ,$1.36 ,$3.16 ,$4.52 ,,,,,,
108,Dr. Michael Todd,,A,5,K30,"$71,943.43 ","$15,921.23 ","$5,610.81 ",196,15,0,0,371,$617.53 ,"$1,909.29 ","$2,177.70 ","$4,086.99 ",262.03,268,,,,
111,Dr. Frank Stanley,,C,1,K33,$0.00 ,$20.00 ,$6.60 ,0,0,0,0,,$0.00 ,$6.60 ,$13.40 ,$20.00 ,,,,,,
113,Dr. Thurmond Beasley,,I,1,K33,$0.00 ,$16.09 ,$5.31 ,0,0,0,0,,,,,,,,,,,
118,Dr Woodrow Brand,,A,1,K35,"$37,175.41 ","$1,883.22 ",$687.74 ,335,4,21,48,,,,,,,,,,,
129,New Albany Surgical Group,,C,5,K30,$0.00 ,$499.88 ,$165.04 ,0,0,0,0,,$0.00 ,$60.33 ,$90.50 ,$150.83 ,,,,,,
135,Delta Neurology Clinic,,C,5,K31,$0.00 ,$90.09 ,$26.14 ,0,0,0,0,,$0.00 ,$26.14 ,$63.95 ,$90.09 ,,,,,,
140,Womens Clinic of New Albany,,C,1,K33,$0.00 ,$113.30 ,$68.30 ,0,0,0,0,,$38.30 ,$68.30 ,$45.00 ,$113.30 ,5.3,,,,,
147,Sheehan Counseling Center,,C,1,K30,$0.00 ,$752.22 ,$530.69 ,0,0,0,0,,$383.00 ,$530.69 ,$221.53 ,$752.22 ,239,144,,,,
157,Internal Medicine RHC /New Albany Med Gp,,C,1,K33,$0.00 ,$139.40 ,$46.00 ,0,0,0,0,,,,,,,,,,,
159,Radiology of North Mississippi,,C,1,K28,$0.00 ,$398.80 ,$153.30 ,0,0,0,0,,$0.00 ,$138.80 ,$208.20 ,$347.00 ,,,,,,
169,"Tupelo Ear, Nose & Throat GRP","169,171,622",C,1,K30,$0.00 ,$712.88 ,$281.07 ,0,0,0,0,,$0.00 ,$281.07 ,$431.81 ,$712.88 ,,,,,,
176,"Tupelo Anesthesia Group, P.A.",,A,5,TAG,"$1,987,430.27 ","$237,732.37 ","$94,583.41 ",238,397,1729,2345,,"$19,209.71 ","$46,570.37 ","$43,712.89 ","$90,283.26 ",11049.56,6182.71,,,,
184,"Surgery Associates, P.A.",,A,5,S27,"$322,272.82 ","$5,969.41 ","$1,978.62 ",253,1,103,345,,$0.00 ,$7.50 ,$17.50 ,$25.00 ,,,,,,
193,Aurora Spine Center,,A,1,K35,"$20,015.76 ","$3,770.66 ","$1,144.78 ",355,4,26,33,,$0.00 ,$64.19 ,$119.21 ,$183.40 ,,,,,,
205,Anesthesia & Pain Management,,C,1,K30,$0.00 ,$75.50 ,$37.75 ,0,0,0,0,,$0.00 ,$37.75 ,$37.75 ,$75.50 ,,,,,,
242,"Endocrinology Consultants, PLLC",,A,5,K30,"$52,613.38 ","$26,807.28 ","$10,022.63 ",458,29,96,126,,"$2,063.04 ","$4,017.26 ","$3,126.91 ","$7,144.17 ",1330.04,684,,,,
248,NMMC Credit Union,,A,1,K33,"$16,797.18 ","$2,713.87 ",$931.76 ,395,0,0,0,8,$0.00 ,$363.00 ,$737.00 ,"$1,100.00 ",,,,,,
262,Delta Telepage of Greenville,,C,1,K00,$0.00 ,$20.00 ,$6.60 ,0,0,0,0,,,,,,,,,,,
263,Anesthesia Consultants of Oxford,,I,5,P01,$0.00 ,"$10,694.04 ","$3,786.03 ",0,0,0,0,,$693.04 ,"$1,259.42 ",$849.57 ,"$2,108.99 ",393.74,246.5,,,,
297,Heritage OB-GYN Clinic,,I,5,K35,$0.00 ,$168.00 ,$61.40 ,0,0,0,0,,,,,,,,,,,
358,Dr. John Gassaway,,C,5,K30,$0.00 ,$222.75 ,$75.22 ,0,0,0,0,0,,,,,,,,,,
374,PBCS Inc. / Dr Kevin G Johnson,,A,5,K28,"$40,707.02 ","$13,918.18 ","$4,317.43 ",336,10,74,115,,$272.26 ,$738.63 ,$704.32 ,"$1,442.95 ",106.37,165.89,,,,
382,Leonel Lacayo   M.D.,,I,5,K31,$0.00 ,$125.35 ,$36.36 ,0,0,0,0,,$0.00 ,$36.36 ,$88.99 ,$125.35 ,,,,,,
388,Nephrology & Hypertension Associates,,A,5,K33,"$81,943.64 ","$9,408.92 ","$3,701.92 ",225,90,0,0,430,$565.18 ,"$1,134.45 ",$876.04 ,"$2,010.49 ",393.7,242,,,,
391,"New Albany Light, Gas, and Water",,A,5,K00,"$104,622.02 ","$18,023.06 ","$4,342.45 ",72,0,0,0,259,"$1,181.17 ","$1,181.17 ","$2,238.58 ","$3,419.75 ",980.72,719,,,,
402,"Rossetti Dental Association, P.H.",,A,5,K33,"$6,995.30 ","$3,202.20 ","$1,062.09 ",454,0,8,16,,,,,,,,,,,
409,Cooper Realty Inc.,,A,5,K33,"$59,244.78 ","$7,054.24 ","$3,488.99 ",262,0,0,36,,"$1,452.21 ","$2,518.34 ","$1,601.41 ","$4,119.75 ",1124.21,328,,,,
439,Corinth Surgery Center,,C,5,K27,$0.00 ,"$6,292.53 ","$3,331.18 ",0,0,0,0,,"$1,511.00 ","$3,139.23 ","$2,442.34 ","$5,581.57 ",1298,213,,,,
440,Magnolia Anesthesiology Associates P A,,A,5,K27,"$358,279.80 ","$51,107.26 ","$20,115.96 ",214,200,448,529,,"$4,955.41 ","$11,640.26 ","$9,069.86 ","$20,710.12 ",2773.92,1557.1,,,,
454,"Michael Foss, M. D.",,C,5,K31,$0.00 ,$2.65 ,$0.77 ,0,0,0,0,,,,,,,,,,,
464,Dr. Hoat M Hoang,,A,1,K35,"$65,879.29 ","$1,142.07 ",$415.32 ,328,13,36,61,,,,,,,,,,,
465,Blue Mtn. Family Medicine Clinic,,C,5,K33,$0.00 ,$117.80 ,$38.87 ,0,0,0,0,,,,,,,,,,,
466,"Tupelo Eye Center, Optical",,A,5,K33,$341.83 ,$284.76 ,$120.77 ,89,0,2,1,,,,,,,,,,,
477,Carraway Medical Center ER,,C,5,K35,$0.00 ,$12.94 ,$3.62 ,0,0,0,0,,,,,,,,,,,
503,Sports  Med,,C,5,P03,$0.00 ,$381.20 ,$116.23 ,0,0,0,0,,,,,,,,,,,
510,Family Clinic of New Albany,,A,5,K33,"$37,798.81 ","$8,328.32 ","$3,042.16 ",254,2,103,130,,$190.27 ,$551.48 ,$592.38 ,"$1,143.86 ",105.56,84.71,,,,
