CLT_ID,ES1,ES2,ES3,ESF
20003,2,4,5,0
20006,0,0,0,2
20015,4,3,8,3
20023,25,6,30,16
20024,10,40,0,0
20036,0,0,2,12
20040,0,0,0,2
20045,18,0,0,0
20048,58,0,118,27
20054,70,0,92,15
20055,8,0,7,1
20057,202,0,424,0
20070,165,36,342,83
20074,0,17,0,0
20087,0,4,0,0
20088,27,10,0,0
20089,0,0,8,8
20090,1,0,0,0
20091,0,0,7,0
20092,0,0,1,0
20093,0,0,1,0
20094,0,1,0,0
20095,0,0,1,0
20096,7,9,9,0
20097,0,0,8,0
20098,5,1,0,0
20099,6,0,0,0
20100,0,0,1,0
20101,1,1,3,0
20102,1,0,2,0
20103,1,1,1,0
Totals,611,133,1070,169
