CLT_ID,ES1,ES2,ES3,ESF
20001,0,0,1,0
20015,15,10,20,8
20022,0,0,1,0
20023,44,2,20,3
20024,34,50,3,0
20036,0,0,48,9
20048,13,0,40,8
20054,35,11,57,46
20055,0,0,0,1
20057,220,0,431,0
20070,230,15,75,0
20074,0,17,0,0
20083,0,0,1,0
20088,10,9,0,0
20099,3,0,0,0
20100,0,0,4,1
20101,0,1,9,1
20102,1,0,0,1
20103,9,1,2,1
20104,0,0,4,0
20105,1,0,0,0
20106,3,2,2,0
20107,0,0,1,0
20108,0,0,2,0
20109,0,3,0,0
20110,0,104,0,0
20111,0,0,17,0
20112,0,0,1,0
20113,0,0,2,0
20114,0,1,0,0
20115,0,0,2,0
20116,41,0,0,0
20117,0,0,2,0
20118,0,0,1,0
,659,226,746,79
