CLT_ID,NAME,Group ID,STATUS,SALES,COLL,LIST_AMT,PAID_AMT,AMOUNT,AGE,SM ,MED,LG,CC,FEE_AMT,AMOUNT_EARNED_US,AMOUNT_EARNED_CLT,TOTAL_AMOUNT_EARNED,ATTORNEY_FEES,COURT_COSTS,ES1,ES2,ES3,ESF
108,Dr. Michael Todd,"108, 113",A,5,K30,24744.01,5170.07,2313.45,232,39,,89,,84.04,247.87,296.52,544.39,84.04,,,,,
118,Dr Woodrow Brand,,A,500,K35,29362.44,402.54,140.89,453,8,,32,,,,,,,,,,,
118,,,,,,,,,,,,,,0,5.16,9.58,14.74,,,,,,
123,Physicians & Surgeons Clinic,,C,5,K33,0,106,37.66,0,0,,0,,,,,,,,,,,
140,Womens Clinic of New Albany,,C,1,K33,0,60,35.88,0,0,,0,,,,,,,,,,,
140,,,,,,,,,,,,,,19.8,35.88,24.12,60,,,,,,
140,,,,,,,,,,,,,,,,,,3.3,,,,,
147,Sheehan Counseling Center,,C,1,K30,0,35.82,11.82,0,0,,0,,,,,,,,,,,
176,"Tupelo Anesthesia Group, P.A.",,A,5,TAG,745939.44,102785.79,42982.29,203,635,,856,,,,,,,,,,,
176,,,,,,,,,,,,,,4610.04,11712.1,11607.73,23319.83,,,,,,
176,,,,,,,,,,,,,,,,,,1783.57,1157.11,,,,
184,"Surgery Associates, P.A.",,A,500,S27,105030.63,7929.03,2512.49,270,27,,142,,,,,,,,,,,
184,,,,,,,,,,,,,,0,38.39,89.59,127.98,,,,,,
191,Hill Rehabilitation Services,,C,1,K33,0,42.4,13.99,0,0,,0,,,,,,,,,,,
193,Aurora Spine Center,,A,1,K35,6148.12,2408.15,804.15,234,10,,10,,,,,,,,,,,
193,,,,,,,,,,,,,,0,0.5,0.93,1.43,,,,,,
242,"Endocrinology Consultants, PLLC",,A,5,K30,115795.09,22049.48,7381.54,587,262,,319,,,,,,,,,,,
242,,,,,,,,,,,,,,88.33,1103.48,1659.14,2762.62,,,,,,
242,,,,,,,,,,,,,,,,,,24.33,114,,,,
248,NMMC Credit Union,,A,1,K33,1649.14,773.08,265.83,486,0,,1,,,,,,,,,,,
263,Anesthesia Consultants of Oxford,,I,5,P01,0,255.38,74.07,0,0,,0,,,,,,,,,,,
263,,,,,,,,,,,,,,0,23.38,57.2,80.58,,,,,,
297,Heritage OB-GYN Clinic,,I,5,K35,0,37.41,16.83,0,0,,0,,,,,,,,,,,
374,PBCS Inc. / Dr Kevin G Johnson,,C,5,K28,0,1663.38,1029.2,0,0,,0,,,,,,,,,,,
374,,,,,,,,,,,,,,626.81,1029.2,634.18,1663.38,,,,,,
374,,,,,,,,,,,,,,,,,,379.67,247.14,,,,
388,Nephrology & Hypertension Associates,,A,500,K33,59693.94,4983.39,1754.37,244,188,,136,,,,,,,,,,,
388,,,,,,,,,,,,,,0,248.99,505.5,754.49,,,,,,
391,"New Albany Light, Gas, and Water",,A,5,K00,141465.94,13881.68,3335.07,88,10,,122,,,,,,,,,,,
402,"Rossetti Dental Association, P.H.",,A,500,K33,22440.53,2934.99,987.32,365,0,,58,,,,,,,,,,,
409,Cooper Realty Inc.,,A,5,K33,21552,6416.08,2586.89,275,0,,16,,,,,,,,,,,
409,,,,,,,,,,,,,,149,1004.2,1458.87,2463.07,,,,,,
409,,,,,,,,,,,,,,,,,,,75,,,,
440,Magnolia Anesthesiology Associates P A,,A,5,K27,139941.22,15832.13,5217.76,242,212,,214,,,,,,,,,,,
440,,,,,,,,,,,,,,523.06,1267.05,1265.07,2532.12,,,,,,
440,,,,,,,,,,,,,,,,,,106.56,333.5,,,,
464,Dr. Hoat M Hoang,,A,500,K35,28143.27,1362.01,487.1,312,24,,47,,,,,,,,,,,
510,Family Clinic of New Albany,,A,5,K33,0,1225.6,438.3,0,0,,0,,,,,,,,,,,
510,,,,,,,,,,,,,,0,2.97,6.03,9,,,,,,
531,"Magnolia Gastroenterology, PA",,C,5,K29,0,3549.31,1637.7,0,0,,0,,,,,,,,,,,
531,,,,,,,,,,,,,,133.89,780.6,822.56,1603.16,,,,,,
531,,,,,,,,,,,,,,,,,,121.38,,,,,
536,Dr. James S. Brown -2,,I,5,K29,0,105,31.5,0,0,,0,,,,,,,,,,,
540,Birmingham Hematology & Oncology Assoc.,,A,5,P25,190076.4,12417.28,3237.9,158,146,,250,,,,,,,,,,,
540,,,,,,,,,,,,,,0,131.42,394.28,525.7,,,,,,
547,Siloam Springs Memorial Hospital,,C,5,K25,0,60,15,0,0,,0,,,,,,,,,,,
549,Plantersville Family Clinic,,I,5,K33,0,797.34,386.98,0,0,,0,,,,,,,,,,,
549,,,,,,,,,,,,,,149.57,269.31,179.59,448.9,,,,,,
549,,,,,,,,,,,,,,,,,,99.57,50,,,,
558,Eze Family Medical Clinic,,A,5,S32,23010.75,3323.72,1250.65,491,45,,75,,,,,,,,,,,
558,,,,,,,,,,,,,,267.78,431.85,267.18,699.03,,,,,,
558,,,,,,,,,,,,,,,,,,150.48,114,,,,
563,"Austin Dental Clinic, P.A.",,C,5,K33,0,741.2,560.2,0,0,,0,,,,,,,,,,,
563,,,,,,,,,,,,,,412.1,560.2,181,741.2,,,,,,
563,,,,,,,,,,,,,,,,,,162.1,250,,,,
564,"James L. White, M.D.",,A,5,K30,6728.9,1460.26,690.73,245,31,,22,,,,,,,,,,,
564,,,,,,,,,,,,,,0,63,147,210,,,,,,
565,"Clyde Phillips, M.D.",,A,5,K30,6938.39,2431.82,1220.61,255,25,,23,,,,,,,,,,,
565,,,,,,,,,,,,,,64,179.28,172.92,352.2,,,,,,
565,,,,,,,,,,,,,,,,,,,64,,,,
567,"Jackson Ear, Nose & Throat Clinic",,C,5,K33,0,149.79,49.43,0,0,,0,,,,,,,,,,,
567,,,,,,,,,,,,,,0,9.24,18.75,27.99,,,,,,
568,"Stacy Haynes, M.D.",,C,5,K29,0,258.53,92.01,0,0,,0,,,,,,,,,,,
568,,,,,,,,,,,,,,0,0.6,1.47,2.07,,,,,,
576,Medical Center East Physicans,,C,5,K35,0,66.6,20.01,0,0,,0,,,,,,,,,,,
576,,,,,,,,,,,,,,0,20.01,46.59,66.6,,,,,,
593,Dr. Matthew B. Wesson,,A,5,K33,7269.6,470.61,157.98,232,6,,17,,,,,,,,,,,
593,,,,,,,,,,,,,,0,2.72,5.52,8.24,,,,,,
594,Dr. Fred H. Mothershed,,A,5,K33,1652.2,618.31,206.73,244,8,,8,,,,,,,,,,,
594,,,,,,,,,,,,,,0,17.41,35.36,52.77,,,,,,
598,"West Surgical, Jesse Peurifoy, M.D.",,C,5,K31,0,146,42.35,0,0,,0,,,,,,,,,,,
598,,,,,,,,,,,,,,0,42.35,103.65,146,,,,,,
600,Tishomingo Health Services Inc.,,A,500,K35,1793645.9,48353.6,22262.11,426,72,,1607,,,,,,,,,,,
600,,,,,,,,,,,,,,3477.76,8186.27,7355.09,15541.36,,,,,,
600,,,,,,,,,,,,,,,,,,2644.01,525,,,,
601,Imaging Associates of N MS Magnolia LLC,,A,500,K33,0,22407.61,10564.48,0,0,,0,,,,,,,,,,,
601,,,,,,,,,,,,,,932.82,2275.47,2221.67,4497.14,,,,,,
601,,,,,,,,,,,,,,,,,,517.38,282,,,,
622,"Tupelo Ear, Nose & Throat-26",,C,1,K30,0,162.8,48.83,0,0,,0,,,,,,,,,,,
622,,,,,,,,,,,,,,0,48.83,113.97,162.8,,,,,,
627,Certified Medical Specialists,,A,5,K29,0,861,266.73,0,0,,0,,,,,,,,,,,
635,"Michael Gerhardt & Brice Brackin, MD",,C,5,K30,0,47.08,16.5,0,0,,0,,,,,,,,,,,
635,,,,,,,,,,,,,,0,3.8,10.28,14.08,,,,,,
661,Marion Regional Medical Center,,A,500,K25,1265970.93,25416.43,8780.81,447,221,,1220,,,,,,,,,,,
661,,,,,,,,,,,,,,1785.12,3419.42,2687.35,6106.77,,,,,,
661,,,,,,,,,,,,,,,,,,800.45,182,,,,
668,"Mason Surgical Clinic, PLLC",,C,5,K35,0,700.86,260.32,0,0,,0,,,,,,,,,,,
668,,,,,,,,,,,,,,0,79,146.66,225.66,,,,,,
684,Corinth Surgery CRNA Billing,,I,5,K27,0,16,4.32,0,0,,0,,,,,,,,,,,
689,Marion Regional Medical Ctr. Medicare,,A,5,K33,89308.58,782.01,276.82,522,123,,223,,,,,,,,,,,
693,New Albany OBGYN,,A,500,K34,16732.96,10217.38,3901.99,882,7,,33,,,,,,,,,,,
694,Gastroenterology for Children,,A,5,K00,3742.1,3420.83,987.87,235,16,,18,,,,,,,,,,,
700,Magnolia Regional Health Center,,I,5,K25,0,75259.48,37252.76,0,0,,0,,,,,,,,,,,
