CLT_ID,,FEE_AMT,AMOUNT_EARNED_US,AMOUNT_EARNED_CLT,TOTAL_AMOUNT_EARNED
1003,,$541.60,1233.02,1037.13,2270.15
1006,,"$1,234.98",2552.32,2061.18,4613.5
1007,,"$4,240.89",8131.72,6004.52,14136.24
1010,,$192.50,502.04,464.32,966.36
1014,,$0.00,13.2,26.8,40
1015,"965, 1015","$22,171.37",31107.78,47115.95,78223.73
1017,,$0.00,20.4,47.6,68
1019,,"$2,632.31",5848.68,5252.95,11101.63
1020,,$380.90,732.32,527.12,1259.44
1025,,$0.00,216.32,324.48,540.8
1026,,$0.00,23.75,55.42,79.17
1028,,$439.52,707,401.22,1108.22
108,,$597.63,1726.54,1927.07,3653.61
1084,,$526.93,1360.84,1337.14,2697.98
11001,"11001, 11004-11023, 11052, 11057-11059","$6,187.01",14749.36,12962.76,27712.12
11002,,$154.58,154.58,480.71,635.29
11053,,$0.00,24,56,80
1175,,$0.00,266.81,326.1,592.91
135,,$0.00,9.67,23.66,33.33
140,,$33.70,64.22,45.78,110
147,,$0.00,26.15,39.23,65.38
1500,,$88.26,157.76,115.88,273.64
1536,,$333.79,632.99,448.8,1081.79
159,,$0.00,53.66,80.49,134.15
169,"169, 171, 173, 301, 622, 625, 634, 643",$103.72,741.3,1003.67,1744.98
176,,"$23,497.08",51909.76,44362.73,96272.49
191,,$203.00,308.12,157.68,465.8
193,,$0.00,265.05,323.95,589
20024,,$0.00,220,330,550
20048,,$0.00,0,383.19,383.19
20062,,$0.00,0,120.37,120.37
205,,$62.52,120.21,57.7,177.91
214,,$89.68,147.76,70.98,218.74
216,,$0.00,0,0,0
242,,$993.10,3086.31,3288.05,6374.36
263,,"$1,528.78",3418.03,3060.54,6478.57
297,,$0.00,25.57,47.5,73.07
3019,"3000-3019, 3021-3026, 3029-3032, 3034-3036, 3038-3041, 3043-3069, 3071-3072, 3074, 3078, 3080-3090",$851.25,1436.99,1052.04,2489.03
3210,"3202, 3210, 3225 ",$0.00,84.7,127.05,211.75
358,,$494.82,952.26,686.16,1638.42
374,,$229.34,377.74,231.6,609.34
388,,$563.46,1092.52,814.18,1906.7
391,,$815.85,815.85,845.03,1660.88
395,,$0.00,36.75,85.75,122.5
400,,$123.49,123.49,486.99,610.48
4002,,$322.13,2796.76,3024.53,5821.29
402,,$228.68,301.48,109.2,410.68
409,,"$1,195.15",3205.47,3015.51,6220.98
439,,$57.82,104.53,70.05,174.58
440,,"$3,151.19",7906.97,6345.32,14252.29
465,,$355.78,474.51,178.11,652.62
492,,$604.00,1145.6,812.4,1958
5013,,$0.00,152.18,293.26,445.44
5023,,$0.00,52.62,142.29,194.91
5046,,$119.57,121.28,2.09,123.37
5049,,$134.22,517.43,468.36,985.79
5055,,$75.00,551.07,581.93,1133
5064,,"$1,331.62",3101.94,2655.52,5757.46
5076,,$217.00,483.7,325.97,809.67
510,,$0.00,289.64,450.69,740.33
531,,"$1,105.39",3264.22,3865.03,7129.25
540,,$0.00,444.37,666.54,1110.91
549,,$0.00,8.25,16.75,25
551,,$214.82,1325,1356.9,2681.9
558,,$0.00,266.26,530.91,797.17
564,,$233.68,564.65,546.44,1111.09
565,,$109.42,604.76,798.21,1402.97
575,,$0.00,411.67,764.52,1176.19
582,,$0.00,6.76,15.05,21.81
594,,$0.00,124.44,252.65,377.09
600,"600, 800","$7,725.64",19532.1,18100.19,37632.29
6000,,"$1,073.09",3887.31,3439.63,7326.94
601,,"$10,967.76",21462.35,16600.77,38063.12
6045,,$167.40,351.02,231.14,582.16
6068,,$148.04,807.86,806.44,1614.3
608,,$169.40,169.4,0,169.4
627,,$229.74,795.07,925.1,1720.17
642,,$250.97,395.38,176.49,571.87
655,,$0.00,64.15,78.39,142.54
661,"661, 689","$5,702.23",12261.9,9849.59,22111.49
668,,"$2,156.81",4407.87,3053.76,7461.63
676,,$308.34,619.13,472.16,1091.29
681,,$386.40,573.4,228.57,801.97
684,,$0.00,33.75,91.25,125
692,,$195.38,195.38,0,195.38
693,,$714.22,1223.84,699.23,1923.07
694,,-$562.94,-309.61,309.61,0
696,,$227.46,415.66,282.29,697.95
700,"700, 775","$69,763.36",146780.27,149577.54,296357.81
705,,"$3,497.15",4285.94,1202.61,5488.55
706,,"$2,937.62",6438.47,5598.51,12036.98
707,,$814.87,1382.13,740.27,2122.4
732,,$412.18,479.85,51.5,531.35
746,,$289.44,1011.28,1236.55,2247.83
747,,$918.58,2861.65,2746.43,5608.08
752,,"$8,959.62",17151.46,12566.16,29717.62
755,,$330.17,664.66,507.39,1172.05
756,,$20.00,20,75,95
758,,"$6,433.11",12731.56,8367.53,21099.09
766,,$24.71,68.23,53.22,121.45
768,,$0.00,8.74,22.47,31.21
