CLT_ID,FEE_AMT,AMOUNT_EARNED_US,AMOUNT_EARNED_CLT,TOTAL_AMOUNT_EARNED
100,$0.00,$1.36,$3.16,$4.52
1003,$660.37,"$1,524.69","$1,296.49","$2,821.18"
1006,$0.00,$144.89,$269.77,$414.66
1007,"$2,243.48","$4,595.90","$4,026.59","$8,622.49"
1010,$134.50,$312.50,$267.00,$579.50
1014,$0.00,$91.97,$186.71,$278.68
1015,$761.27,$777.75,"$2,030.42","$2,808.17"
1019,"$5,626.45","$14,245.08","$13,872.02","$28,117.10"
1020,"$1,663.83","$2,993.43","$1,994.40","$4,987.83"
1025,$171.41,$259.86,$132.67,$392.53
1028,"$2,323.94","$4,170.48","$2,895.83","$7,066.31"
1036,$0.00,$193.05,$358.52,$551.57
1042,$956.97,"$1,740.75","$1,175.69","$2,916.44"
1046,$823.00,"$3,396.14","$3,859.72","$7,255.86"
1047,$0.00,$192.52,$288.78,$481.30
1048,$410.83,$823.26,$618.64,"$1,441.90"
1060,$0.00,$83.60,$125.40,$209.00
1063,$86.96,$112.18,$37.82,$150.00
1066,$76.55,$87.10,$12.90,$100.00
108,$617.53,"$1,909.29","$2,177.70","$4,086.99"
1084,$862.73,"$1,633.99","$1,226.77","$2,860.76"
11001,"$1,884.53","$4,373.52","$3,878.81","$8,252.33"
11002,$247.27,$279.27,$918.73,"$1,198.00"
11005,$46.15,$46.15,$153.85,$200.00
111,$0.00,$6.60,$13.40,$20.00
1175,$0.00,$221.04,$294.70,$515.74
129,$0.00,$60.33,$90.50,$150.83
135,$0.00,$26.14,$63.95,$90.09
140,$38.30,$68.30,$45.00,$113.30
147,$383.00,$530.69,$221.53,$752.22
1500,"$7,316.49","$14,067.80","$10,233.64","$24,301.44"
1536,$0.00,$31.50,$73.50,$105.00
159,$0.00,$138.80,$208.20,$347.00
1634,$0.00,$59.69,$72.97,$132.66
169,$0.00,$244.20,$366.30,$610.50
171,$0.00,$12.23,$28.55,$40.78
176,"$19,209.71","$46,570.37","$43,712.89","$90,283.26"
184,$0.00,$7.50,$17.50,$25.00
193,$0.00,$64.19,$119.21,$183.40
20024,$0.00,$0.00,$456.00,$456.00
20036,$0.00,$0.00,$735.60,$735.60
20048,$0.00,$0.00,$463.46,$463.46
20074,$0.00,$0.00,$347.45,$347.45
205,$0.00,$37.75,$37.75,$75.50
242,"$2,063.04","$4,017.26","$3,126.91","$7,144.17"
248,$0.00,$363.00,$737.00,"$1,100.00"
263,$693.04,"$1,259.42",$849.57,"$2,108.99"
3009,$0.00,$106.79,$320.36,$427.15
3016,$0.00,$7.50,$22.50,$30.00
3017,$0.00,"$1,400.00","$2,100.00","$3,500.00"
3019,$2.67,$4.84,$3.25,$8.09
3040,$0.00,$0.18,$0.82,$1.00
3043,$0.00,$74.79,$112.18,$186.97
3048,$65.00,$213.76,$223.13,$436.89
3051,$305.36,$521.41,$324.06,$845.47
3056,$376.63,$674.08,$446.18,"$1,120.26"
3080,$0.00,$208.92,$525.59,$734.51
3082,$0.00,$1.38,$4.16,$5.54
3084,$108.88,$145.33,$54.67,$200.00
3086,$0.00,$3.59,$16.37,$19.96
374,$272.26,$738.63,$704.32,"$1,442.95"
382,$0.00,$36.36,$88.99,$125.35
388,$565.18,"$1,134.45",$876.04,"$2,010.49"
391,"$1,181.17","$1,181.17","$2,238.58","$3,419.75"
4002,"$1,878.28","$4,336.50","$3,004.44","$7,340.94"
409,"$1,452.21","$2,518.34","$1,601.41","$4,119.75"
