CLT_ID,FEE_AMT,ATTORNEY_FEES,COURT_COSTS,AMOUNT_EARNED_US,AMOUNT_EARNED_CLT,TOTAL_AMOUNT_EARNED
,,,,,,
1003,94,,94,94,0,94
1003,150,75,,330,270,600
1003,150,37.5,,330,270,600
1003,89.58,89.58,,197.06,161.23,358.29
1003,15.71,15.71,,124.63,163.37,288
1003,36.92,36.92,,81.22,66.46,147.68
1003,196.16,196.16,,431.54,353.06,784.6
1007,40,,20,40,0,40
1007,124.91,,124.91,124.91,0,124.91
1007,29.04,29.04,,62.06,49.54,111.6
1007,160.05,46.05,114,197.45,56.09,253.54
1007,125.19,86.1,39.09,195.11,104.89,300
1007,45.33,45.33,,172.83,191.24,364.07
1007,85.36,35.36,50,85.36,0,85.36
1007,101.44,27.44,74,101.44,0,101.44
1007,111.54,37.54,74,142.03,45.73,187.76
1007,5.57,5.57,,39.25,50.51,89.76
1007,90.6,90.6,,169.45,118.27,287.72
1007,98.65,98.65,,178.77,120.17,298.94
1007,83.67,83.67,,151.62,101.92,253.54
1007,115.69,51.69,64,157.66,62.96,220.62
1007,59.71,59.71,,140.97,121.88,262.85
1007,208.71,94.71,114,262.93,81.33,344.26
1007,6.8,6.8,,41.63,52.25,93.88
1007,51.86,51.86,,93.97,63.17,157.14
1007,77.79,25.93,,128.24,75.65,203.89
1007,67.94,43.94,24,67.94,0,67.94
1007,187.95,23.95,164,207.4,29.17,236.57
1007,30.98,30.98,,56.14,37.74,93.88
1007,233.37,119.37,114,357.37,186,543.37
1007,202.77,152.77,50,226.88,36.16,263.04
1010,134.5,,134.5,134.5,0,134.5
1015,30,30,,30,90,120
1015,250,50,,250,0,250
1015,66.34,66.34,,66.34,294.54,360.88
1015,59.72,59.72,,59.72,238.88,298.6
1015,2.77,2.77,,2.77,0,2.77
1015,6.77,6.77,,16.25,17.61,33.86
1015,43.86,43.86,,43.86,0,43.86
1019,40,,10,40,0,40
1019,50,,50,50,0,50
1019,60,,60,60,0,60
1019,99,33,,179.4,120.6,300
1019,37,37,,67.05,45.07,112.12
1019,169.11,55.11,114,213.87,67.14,281.01
1019,5.65,2.15,3.5,7.39,2.61,10
1019,179.29,63.29,116,230.69,77.09,307.78
1019,16.5,3.3,,27.22,16.08,43.3
1019,97.3,33.3,64,137.3,60,197.3
1019,49.4,49.4,,49.4,0,49.4
1019,11.42,11.42,,38.34,40.38,78.72
1019,51.45,51.45,,134.69,124.86,259.55
1019,7.49,7.49,,24.49,25.51,50
1019,22.49,22.49,,53.49,46.51,100
1019,99,16.5,,179.4,120.6,300
1019,88.51,24.51,64,108.41,29.84,138.25
1019,45.63,45.63,,82.68,55.57,138.25
1019,49.65,49.65,,269.09,329.17,598.26
1019,77.69,77.69,,232.92,232.84,465.76
1019,123.74,59.74,64,172.24,72.76,245
1019,95.78,95.78,,173.56,116.66,290.22
1019,19.8,19.8,,35.88,24.12,60
1019,38.81,38.81,,135.96,145.73,281.69
1019,115.82,1.82,114,117.3,2.21,119.51
1019,21.82,17.82,4,37.09,22.91,60
1019,79.84,15.84,64,92.7,19.3,112
1019,21.85,21.85,,71.35,74.24,145.59
1019,55.87,55.87,,101.24,68.05,169.29
1019,25.88,11.88,14,35.53,14.47,50
1019,75.88,11.88,64,85.53,14.47,100
1019,113.88,63.88,50,195.23,122.03,317.26
1019,236.92,72.92,164,296.14,88.84,384.98
1019,37.95,37.95,,68.77,46.23,115
1019,263.13,199.13,64,502.33,358.8,861.13
1019,1144.2,267.4,114,2107.8,1445.4,3553.2
1019,236.4,186.4,50,478.48,363.12,841.6
1019,221.42,107.42,114,308.65,130.85,439.5
1019,180.55,116.55,64,320.55,210,530.55
1019,251.69,137.69,114,397.08,218.09,615.17
1019,293.87,293.87,,532.52,357.97,890.49
1019,339.88,275.88,64,563.93,336.07,900
1019,106.9,106.9,,216.32,164.14,380.46
1019,259.99,145.99,114,378.54,177.83,556.37
1020,64,,64,160,144.01,304.01
1020,40.85,0.85,,62.42,32.35,94.77
1020,33,33,,59.8,40.2,100
1020,41.13,41.13,,89.69,72.85,162.54
1020,43.13,43.13,,213.96,256.25,470.21
1020,172.15,56.15,116,217.75,68.39,286.14
1020,8.25,8.25,,14.95,10.05,25
1020,125.36,74.36,51,185.75,90.59,276.34
1020,48.48,48.48,,109.09,90.91,200
1020,16.5,16.5,,23.2,10.05,33.25
1020,142.55,77.55,65,205.53,94.47,300
1020,9.58,9.58,,17.35,11.66,29.01
1020,75.88,11.88,64,85.53,14.47,100
1020,217.92,93.92,116,290.99,109.61,400.6
1020,219.13,219.13,,397.08,266.93,664.01
1020,174.5,174.5,,316.22,212.57,528.79
