CLT_ID,FEE_AMT,ATTORNEY_FEES,COURT_COSTS,AMOUNT_EARNED_US,AMOUNT_EARNED_CLT,TOTAL_AMOUNT_EARNED
108,617.53,262.03,268,1037.13,629.4,1666.53
140,38.3,5.3,,68.3,45,113.3
147,383,239,144,530.69,221.53,752.22
176,19573.72,11049.56,6182.71,30257.09,16025.09,46282.18
242,2114.58,1330.04,684,3264.78,1725.29,4990.07
263,693.04,393.74,246.5,1136.61,665.35,1801.96
374,272.26,106.37,165.89,446.86,261.9,708.76
388,643.7,393.7,242,1061.04,626,1687.04
391,1910.37,980.72,719,1987.3,2218.62,4205.92
409,1452.21,1124.21,328,1855.7,605.21,2460.91
439,1511,1298,213,3068.6,2336.4,5405
440,4980.07,2773.92,1557.1,8155.32,3880.93,12036.25
510,190.27,105.56,84.71,308.78,177.77,486.55
531,2150.88,1365.22,403,3650.08,1873.71,5523.79
549,74.33,0.33,74,74.6,0.4,75
558,242.7,118.8,114,301.62,88.38,390
564,511.1,150.6,228,724.22,319.68,1043.9
565,1550.06,1094.49,307.03,2453.97,1355.86,3809.83
593,294.32,178.82,115.5,445.52,184.8,630.32
600,11641.91,6601.29,4298.12,16757.59,7645.26,24402.85
601,9467.48,4708.83,4051.26,13907.19,6659.56,20566.75
627,1738.42,1381.42,357,3630.72,2838.44,6469.16
661,5139.61,2862.33,1927.7,8463.49,4985.83,13449.32
668,1257.75,878.04,379.71,2277.34,1246.18,3523.52
681,96.93,96.93,,454.89,437.49,892.38
693,1113.93,740.81,373.12,1804.47,844.01,2648.48
696,656.61,606.61,50,890.41,350.7,1241.11
700,74935.13,51107.65,12841.37,120370.4,84450.48,204820.88
706,4446.77,2453.4,1644.86,7095.5,3973.15,11068.65
707,631.75,203.54,312.71,970.61,414.25,1384.86
732,826.43,372.1,454.33,1235.41,499.84,1735.25
746,987.27,448.07,312.71,1480.93,603.38,2084.31
747,1116.03,567.27,472,1732.34,753.26,2485.6
752,12548.14,8265.3,3044.72,19819.15,10906.57,30725.72
758,4514.98,2458.49,1724.17,7221.17,3390.43,10611.6
